Name,Power,GND,Control,Arduino,Port,ADC,PWM,SPI,Ext Interrupt,PC Interrupt,Misc,Misc2,1
Right,,,,,,,,,,,,,1
VCC,VCC,,,,,,,,,,,,1
PB2,,,,2,PB2,ADC1,,SCL,INT0,PCINT2,,,1
PB1,,,,1,PB1,,PWM,MISO,,PCINT1,,,1
PB0,,,,0,PB0,,PWM,MOSI,,PCINT0,,,1
Left,,,,,,,,,,,,,1
PB5,,,RESET,A0,PB5,ADC0,,,,,,,1
PB3,,,XTAL1,A3,PB3,ADC3,,,,PCINT3,,,1
PB4,,,XTAL2,A2,PB4,ADC2,,,,PCINT4,,,1
GND,,GND,,,,,,,,,,,1
,,,,,,,,,,,,,1
,,,,,,,,,,,,,1
,,,,,,,,,,,,,1
Text,,,,,,,,,,,,,
Extras,,,,,,,,,,,,,
ATtiny85,,,,,,,,,,,,
EOF,,,,,,,,,,,,,
